id,Typologie cadeau,Cadeau,Lien,Tranche d'âge,Budget cible,Occasion,activités / centres d'intérêts,Relation,Personnalité / Préférences,Genre
123,Déco,Diffuseur d'ambiance,https://www.galerieslafayette.com/p/diffuseur+d+ambiance+a+tiges+moso+bamboo+100+ml-voluspa/71213989/320,28 - 40 ans,35 - 50 €,,,,,
124,Déco,Cadres,https://www.galerieslafayette.com/p/lot+de+2+cadres+en+metal+laiton+ou+noir+uyova-la+redoute+interieurs/300407515646/306,28 - 40 ans,35 - 50 €,,,,,
125,Déco,coussin,https://www.galerieslafayette.com/p/housse+de+coussin+en+pur+lin+paniou-am+pm/300419305206/278,28 - 40 ans,35 - 50 €,,,,,
126,Déco,Bougie,https://www.galerieslafayette.com/p/bougie+moso+bamboo+-+340+gr-voluspa/66701822/378,28 - 40 ans,35 - 50 €,,,,,
127,Déco,Déco murale,https://www.galerieslafayette.com/p/decoration+murale+ronde+o30+cm+majari-la+redoute+interieurs/300408529924/306,28 - 40 ans,35 - 50 €,,,,,
128,Déco,Fleurs séchées,https://www.galerieslafayette.com/p/bouquet+de+fleurs+sechees+kenia-la+redoute+interieurs/300419690287/306,28 - 40 ans,35 - 50 €,,,,,
129,Déco,coussin,https://www.galerieslafayette.com/p/housse+de+coussin+en+coton+stripy-am+pm/300408518246/710,28 - 40 ans,35 - 50 €,,,,,
130,Déco,miroir,https://www.galerieslafayette.com/p/miroir+en+rotin+o45+cm+nogu-la+redoute+interieurs/300418045452/0,28 - 40 ans,35 - 50 €,,,,,
131,Bien-être,coffret occitane,https://www.galerieslafayette.com/p/coffret+intense-l+occitane+en+provence/92657137/378,28 - 40 ans,35 - 50 €,,,,,
132,Bien-être,Rituals,https://www.galerieslafayette.com/p/the+ritual+of+sakura+-+coffret+ressourcant+l+2022-rituals/87203912/378,28 - 40 ans,35 - 50 €,,,,,
133,Bien-être,Lisseur cheveux,https://www.amazon.fr/dp/B008SO7JZ4/ref=cm_gf_aAF_d_bf30_bt50_p0_e0_qd0_cXM0cNnvyycXLE2UGXLl,28 - 40 ans,35 - 50 €,,,,,
134,Bien-être,baume cheveux,https://www.galerieslafayette.com/p/baume+bois+de+rose-leonor+greyl/27400071/378,28 - 40 ans,35 - 50 €,,,,,
135,Mode,blaser femme,https://www.zalando.fr/vila-new-34-su-noos-blazer-birch-v1021k02t-b12.html,28 - 40 ans,35 - 50 €,,,,,
136,Mode,pantalon femme,https://www.zalando.fr/grain-de-malice-cigarette-chino-blanc-g1u21a03a-a11.html,28 - 40 ans,35 - 50 €,,,,,
137,Mode,foulard,https://www.galerieslafayette.com/p/carre+elodie+soie-galeries+lafayette/86634204/384,28 - 40 ans,35 - 50 €,,,,,
138,Mode,robe,https://www.zalando.fr/canda-premium-robe-de-jour-white-c6h21c01u-j11.html,28 - 40 ans,35 - 50 €,,,,,
139,Mode,robe rouge,https://www.zalando.fr/oysho-robe-de-jour-red-oy121c0az-g11.html,28 - 40 ans,35 - 50 €,,,,,
140,Mode,nike veste,https://www.zalando.fr/nike-performance-pacer-t-shirt-a-manches-longues-blacksilver-n1241d1tr-q11.html,28 - 40 ans,35 - 50 €,,,,,
141,Mode,maillot bain sport,https://www.zalando.fr/puma-swim-women-racerback-swimsuit-maillot-de-bain-pu181g004-q11.html,28 - 40 ans,35 - 50 €,,,,,
142,Mode,haut sport,https://www.zalando.fr/adidas-performance-yoga-studio-brassieres-de-sport-a-maintien-leger-preloved-red-melcarbon-ad541i0rg-g11.html,28 - 40 ans,35 - 50 €,,,,,
143,Mode,top sans manche,https://www.galerieslafayette.com/p/top+sans+manches+rola-jodhpur/88388737/204,28 - 40 ans,35 - 50 €,,,,,
144,Mode,maillot bain,https://www.zalando.fr/roxy-into-the-sun-wrap-haut-de-bikini-mood-indigo-ro581j0b3-k11.html,28 - 40 ans,35 - 50 €,,,,,
145,Mode,blazer,https://www.zalando.fr/cherry-paris-cadeau-de-naissance-red-cex21g003-g11.html,28 - 40 ans,35 - 50 €,,,,,
146,Mode,veste légère,https://www.zalando.fr/next-palm-print-robe-de-jour-cream-nx321g0k9-b11.html,28 - 40 ans,35 - 50 €,,,,,
147,Sport,écouteurs sans fil,https://www.amazon.fr/Ecouteurs-Bluetooth-doreille-Affichage-Profondes/dp/B09YC24Q43/ref=sr_1_26?refinements=p_36%3A680944011%2Cp_n_feature_thirteen_browse-bin%3A27315993031&rnid=27315992031&s=electronics&sr=1-26,28 - 40 ans,20 - 35 €,,,,,
148,Sport,écouteurs sans fil,https://www.amazon.fr/JVC-%C3%89couteurs-Auriculaires-Bluetooth-R%C3%A9sistance/dp/B09B12KJGH/ref=sr_1_125?refinements=p_36%3A3500-5000%2Cp_n_feature_thirteen_browse-bin%3A27315993031%2Cp_n_condition-type%3A15135266031&rnid=389179011&s=electronics&sr=1-12,28 - 40 ans,35 - 50 €,,,,,
149,Sport,serviette sport,https://www.zalando.fr/coco-and-eve-microfibre-towel-wrap-accessoires-corps-and-bain-c1o31j002-s11.html,28 - 40 ans,20 - 35 €,,,,,
150,voyage,kit dormir ,https://www.zalando.fr/zoe-ayla-system-ivory-zob34j006-s11.html,28 - 40 ans,20 - 35 €,,,,,
151,Sport,coussin yoga,https://www.zalando.fr/el-yoga-mola-equipement-de-fitness-et-yoga-pink-e0j42l002-j11.html,28 - 40 ans,50 - 75 €,,,,,
152,sport,sac de sport,https://www.zalando.fr/oysho-pockets-sac-de-sport-grey-oy151h096-c11.html,28 - 40 ans,35 - 50 €,,,,,
153,Sport,chaussure sport,https://www.zalando.fr/kappa-follow-unisex-chaussures-dentrainement-et-de-fitness-blackgrey-10k44a032-q11.html,28 - 40 ans,35 - 50 €,,,,,
154,voyage,chaussure bensimon,https://www.galerieslafayette.com/p/tennis+classiques+coton-bensimon/42151201/125,28 - 40 ans,35 - 50 €,,,,,
155,voyage,sac de voyage,https://www.amazon.fr/Travel-Duffel-Weekender-voyage-Luggage/dp/B09XGSFCKB/ref=sr_1_24?keywords=Lekesky&sr=8-24&th=1,28 - 40 ans,35 - 50 €,,,,,
156,Cuisine,Porte bouteilles,https://www.amazon.fr/DanDiBo-Casier-Tonneau-bouteilles-Porte-bouteilles/dp/B0019369B6/ref=sr_1_8?__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&keywords=porte+bouteille&refinements=p_36%3A84667031&rnid=67553031&s=kitchen&sr=1-8,,100 € +,,,,,
157,Cuisine,sets couverts,https://www.galerieslafayette.com/p/-villeroy+boch/300412282828/38,,100 € +,,,,,
158,,Flûtes champagne,https://www.galerieslafayette.com/p/newport+twist-coffret+de+6+flutes+a+champagne+21cl-degrenne/300417820048/444,,100 € +,,,,,
159,,soin après rasage,https://www.galerieslafayette.com/p/eau+sauvage+lotion+apres-rasage-dior/28174324/378,,100 € +,,,,,
